pillar|title|slug|collection|buyerStage|targetPersona|targetKeyword|format|valueAsset|requiredSources|internalLinks|status
Cervical screening result support tools|Pap Smear Result Terms Card|pap-smear-result-terms-card|lead-magnets|tofu|doctor-prep;privacy-conscious-user;lab-result-organizer|pap smear results|terms card|Plain terms card for Pap smear result words such as NILM, ASC-US, LSIL, HSIL, HPV, unsatisfactory, and colposcopy as words to ask about rather than self-interpret|DataForSEO Pap smear results KD 47 and Pap result long-tail cluster including abnormal results 2400 US monthly searches LOW competition; NCI abnormal HPV and Pap results; CDC cervical screening; ACOG cervical cancer screening; HHS health record access; no result interpretation or care-plan advice|/free/reproductive-visit-prep-kit;/free/biopsy-result-visit-notes;/resources/privacy-in-practice/your-medical-records-and-period-data;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Cervical screening colposcopy tools|Colposcopy Question Checklist|colposcopy-question-checklist|lead-magnets|tofu|doctor-prep;cervical-screening-follow-up;privacy-conscious-user|colposcopy questions to ask|question checklist|Question checklist for asking why colposcopy was recommended, which result led to it, what records to bring, what words mean, result timing questions, and privacy questions without procedure instructions or medical prep rules|DataForSEO colposcopy biopsy 9900 US monthly searches LOW competition KD 32; colposcopy procedure 8100 LOW KD 27; colposcopy questions support intent; NCI abnormal HPV and Pap results; ACOG abnormal screening; CDC cervical screening; HHS HIPAA rights; no diagnosis, procedure prep, aftercare rules, or privacy guarantee|/free/reproductive-visit-prep-kit;/free/biopsy-result-visit-notes;/free/abnormal-bleeding-log;/resources/privacy-in-practice/your-medical-records-and-period-data;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Cervical screening colposcopy tools|Cervical Biopsy Result Notes|cervical-biopsy-result-notes|lead-magnets|tofu|cervical-screening-follow-up;doctor-prep;privacy-conscious-user|cervical biopsy results|result notes|Note sheet for cervical biopsy result wording, dates, portal messages, clinician questions, and follow-up questions without interpreting CIN, grade, pathology wording, or care needs|DataForSEO cervical biopsy results KD 13; colposcopy biopsy results support intent; NCI abnormal HPV and Pap results; ACOG abnormal cervical screening; CDC cervical screening; HHS HIPAA consumer rights; no biopsy interpretation, treatment advice, or privacy guarantee|/free/biopsy-result-visit-notes;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/free/abnormal-bleeding-log;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Cervical screening colposcopy tools|Colposcopy Recovery Note Sheet|colposcopy-recovery-note-sheet|lead-magnets|tofu|cervical-screening-follow-up;doctor-prep;privacy-conscious-user|colposcopy and biopsy recovery time|note sheet|Note sheet for symptoms, bleeding or discharge notes, questions, and clinic instructions already given after colposcopy or cervical biopsy without recovery timeline, aftercare protocol, sex timing rules, tampon rules, or triage protocol|DataForSEO colposcopy and biopsy recovery time 720 US monthly searches LOW competition KD 4; sex after colposcopy 880 LOW KD 8 handled only as clinic-instruction question context; NCI abnormal HPV and Pap results; ACOG colposcopy; CDC cervical screening; FTC health data guidance; no aftercare instructions or recovery timeline|/free/biopsy-result-visit-notes;/free/reproductive-visit-prep-kit;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/abnormal-bleeding-log;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Cervical screening record privacy tools|Pap Smear Result Privacy Checklist|pap-smear-result-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;doctor-prep;lab-result-organizer|pap smear privacy|privacy checklist|Privacy checklist for Pap result names, portal previews, PDFs, insurance, lab records, shared accounts, app notes, and low-detail labels without legal advice, medical advice, or privacy guarantees|DataForSEO Pap smear privacy checked as low-volume support intent; NCI abnormal HPV and Pap results; CDC cervical screening; HHS HIPAA consumer rights and privacy rule summary; no legal advice, medical advice, or privacy promise|/free/reproductive-visit-prep-kit;/free/biopsy-result-visit-notes;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/premenstrual-symptom-tracker;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-31
Cervical screening record privacy tools|HPV Result Data Privacy Checklist|hpv-result-data-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;doctor-prep;portal-user|hpv test results privacy|privacy checklist|Privacy checklist for HPV result records, portal alerts, assumptions, shared devices, clinic questions, and data minimization without explaining results, legal advice, medical advice, or privacy guarantees|DataForSEO HPV test results KD 56 and HPV result privacy support intent checked; NCI abnormal HPV and Pap results; CDC cervical screening; HHS HIPAA consumer rights; FTC mobile health app best practices; no result interpretation, STI blame, legal advice, or privacy guarantee|/free/biopsy-result-visit-notes;/free/reproductive-visit-prep-kit;/resources/privacy-in-practice/your-medical-records-and-period-data;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-31
Cervical screening visit support tools|Pap Smear Anxiety Visit Card|pap-smear-anxiety-visit-card|lead-magnets|tofu|doctor-prep;privacy-conscious-user;anxious-visit-prep|pap smear anxiety|visit card|Visit card for naming Pap smear anxiety, consent and comfort questions, support person or contact preferences, privacy-light notes, and after-visit notes without promising clinic response or giving procedure instructions|DataForSEO Pap smear anxiety support intent checked; CDC cervical screening; NCI Pap and HPV result context; HHS HIPAA consumer rights and privacy rule summary; no procedure instructions, trauma-informed-care promise, medical advice, or privacy guarantee|/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/free/biopsy-result-visit-notes;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Breast change and imaging support tools|Breast Lump Cycle Note Sheet|breast-lump-cycle-note-sheet|lead-magnets|tofu|breast-change-tracker;cycle-symptom-tracker;doctor-prep|breast lump before period|cycle note sheet|Plain notes for a breast lump or breast change before a period, including wording, side, location, cycle timing, period dates, prior notes, and clinician questions without diagnosis, reassurance, self-exam steps, or treatment advice|DataForSEO breast lump before period 1000 US monthly searches LOW competition; Mayo Clinic breast pain and cysts; Cleveland Clinic clinical breast exam; NCI breast conditions; no diagnosis, reassurance, self-exam protocol, or treatment advice|/free/premenstrual-symptom-tracker;/free/period-pain-cramp-diary;/free/biopsy-result-visit-notes;/free/vaginal-discharge-odor-checklist;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Breast change and imaging support tools|Breast Cyst Symptom Question List|breast-cyst-symptom-question-list|lead-magnets|tofu|breast-change-tracker;doctor-prep;cycle-symptom-tracker|breast cyst symptoms|question list|Clinician discussion list for breast cyst symptom questions, records, side, location, cycle timing, pain, tenderness, nipple fluid, prior imaging, and visit notes without diagnosis, reassurance, cancer-risk prediction, or treatment advice|DataForSEO breast cyst symptoms 4400 US monthly searches LOW competition KD 23; Mayo Clinic breast cysts; Cleveland Clinic clinical breast exam; NCI breast conditions; not a diagnostic checklist|/free/biopsy-result-visit-notes;/free/premenstrual-symptom-tracker;/free/period-pain-cramp-diary;/free/vaginal-discharge-odor-checklist;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Breast change and imaging support tools|Nipple Discharge Cycle Notes|nipple-discharge-cycle-notes|lead-magnets|tofu|breast-change-tracker;cycle-symptom-tracker;doctor-prep|nipple discharge before period|cycle notes|Plain notes for nipple discharge before a period, including side, color wording, timing, cycle day, period dates, medicine context, pregnancy or breastfeeding context if relevant, and clinician questions without interpretation, danger ranking, diagnosis, treatment advice, or triage protocol|DataForSEO nipple discharge before period 140 US monthly searches LOW competition KD 2; Cleveland Clinic nipple discharge and clinical breast exam; NCI breast conditions; FTC mobile health app privacy; no interpretation, danger ranking, or triage protocol|/free/biopsy-result-visit-notes;/free/premenstrual-symptom-tracker;/free/period-pain-cramp-diary;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Breast imaging result support tools|Mammogram Result Question List|mammogram-result-question-list|lead-magnets|tofu|doctor-prep;privacy-conscious-user;lab-result-organizer|mammogram results|question list|Question list for mammogram results with exact report wording, portal notes, breast density wording, clinic questions, record access, and private note choices without image reading, result category explanation, or medical advice|DataForSEO mammogram results KD 17; NCI mammograms and dense breasts; ACR mammography lay report letters; HHS medical record access; no BI-RADS interpretation, result interpretation, follow-up instruction, cancer-risk prediction, or privacy guarantee|/free/biopsy-result-visit-notes;/free/vaginal-discharge-odor-checklist;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Breast imaging result support tools|Abnormal Mammogram Result Notes|abnormal-mammogram-result-notes|lead-magnets|tofu|doctor-prep;privacy-conscious-user;lab-result-organizer|abnormal mammogram results|result notes|Note sheet for abnormal mammogram result wording, portal messages, prior imaging details, clinic questions, copies, and private record choices without interpreting results, ranking seriousness, or telling readers what care is needed|DataForSEO abnormal mammogram results KD 10; ACS mammogram callback guidance; NCI mammograms; ACR mammography lay report letters; HHS medical record access; no BI-RADS interpretation, follow-up instruction, cancer-risk prediction, or privacy guarantee|/free/biopsy-result-visit-notes;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Breast imaging result support tools|Breast Ultrasound Result Questions|breast-ultrasound-result-questions|lead-magnets|tofu|doctor-prep;privacy-conscious-user;lab-result-organizer|breast ultrasound results|question list|Question list for breast ultrasound results with exact report words, portal notes, linked mammogram details, prior imaging records, clinic questions, and private note choices without reading images or explaining result categories|DataForSEO breast ultrasound results KD 15; ACS mammogram callback and ultrasound context; NCI mammograms; HHS medical record access; no image interpretation, follow-up instruction, cancer-risk prediction, or privacy guarantee|/free/biopsy-result-visit-notes;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Breast imaging result support tools|Breast Biopsy Result Notes|breast-biopsy-result-notes|lead-magnets|tofu|breast-imaging-follow-up;doctor-prep;privacy-conscious-user|breast biopsy results|result notes|Plain note sheet for breast biopsy result wording, dates, portal messages, records, and clinician questions without interpreting pathology, explaining terms, predicting cancer risk, procedure instructions, or telling readers what care they need|DataForSEO breast biopsy results KD 21; NCI pathology reports and breast diagnosis; ACS breast pathology report language; HHS HIPAA record access; no result interpretation, procedure instructions, treatment advice, or privacy guarantee|/free/biopsy-result-visit-notes;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/premenstrual-symptom-tracker;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Breast imaging record privacy tools|Breast Imaging Result Privacy Checklist|breast-imaging-result-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;breast-imaging-follow-up;portal-user|mammogram privacy|privacy checklist|Privacy checklist for breast imaging results, including portal previews, result letters, PDFs, claims, shared accounts, downloads, screenshots, app notes, and low-detail labels without legal advice, medical advice, or privacy promises|DataForSEO mammogram privacy support intent checked; ACR mammography lay report letters; CDC mammogram results; HHS HIPAA rights; FTC mobile health app best practices; no legal advice, medical advice, or privacy guarantee|/free/biopsy-result-visit-notes;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-31
Breast imaging visit support tools|Mammogram Anxiety Visit Card|mammogram-anxiety-visit-card|lead-magnets|tofu|breast-imaging-follow-up;doctor-prep;anxious-visit-prep;privacy-conscious-user|mammogram anxiety|visit card|Visit card for naming mammogram anxiety, comfort and consent questions, support person or contact choices, privacy-light notes, and after-visit notes without procedure steps, prep rules, result interpretation, medical advice, or promises about clinic response|DataForSEO mammogram anxiety support intent checked; ACS mammogram callback anxiety context; CDC mammogram results; ACR mammography lay report letters; HHS HIPAA rights; no procedure instructions, trauma-informed-care promise, medical advice, or privacy guarantee|/free/biopsy-result-visit-notes;/resources/privacy-in-practice/your-medical-records-and-period-data;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Cycle mood and anxiety support tools|Anxiety Before Period Cycle Log|anxiety-before-period-cycle-log|lead-magnets|mofu|premenstrual-symptoms;mood-tracker;doctor-prep;privacy-conscious-user|anxiety before period|cycle log|Cycle log for anxiety before a period with timing, daily impact, sleep, pain, stress context, safety notes, and clinician questions without diagnosis, treatment advice, therapy plan, coping protocol, medication advice, crisis-plan replacement, or cause claims|DataForSEO anxiety before period 1600 US monthly searches LOW competition KD 12; period anxiety 720 LOW KD 9; ACOG PMS; OWH PMS; Mayo Clinic PMS; 988 Lifeline; no diagnosis or crisis-plan replacement|/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/resources/symptom-guides/luteal-phase-symptoms;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
Cycle mood and anxiety support tools|Period Anxiety Visit Summary|period-anxiety-visit-summary|lead-magnets|mofu|premenstrual-symptoms;mood-tracker;doctor-prep;privacy-conscious-user|period anxiety|visit summary|Low-detail visit summary for period anxiety timing, daily impact, sleep, pain, stress context, safety notes, and clinician questions without diagnosis, treatment advice, therapy plan, coping protocol, medication advice, or crisis-plan replacement|DataForSEO period anxiety 720 US monthly searches LOW competition KD 9; anxiety before period 1600 LOW KD 12; ACOG PMS; OWH PMDD; Mayo Clinic PMS diagnosis context; NIMH anxiety disorders; 988 Lifeline; no diagnosis, treatment plan, or privacy guarantee|/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
Cycle mood and anxiety support tools|Panic Feelings Before Period Notes|panic-feelings-before-period-notes|lead-magnets|mofu|premenstrual-symptoms;mood-tracker;doctor-prep;privacy-conscious-user|panic before period|note sheet|No-diagnosis note sheet for panic feelings before a period with timing, body sensations, daily impact, safety notes, sleep, pain, stress context, and clinician questions without panic diagnosis, coping protocol, treatment advice, medication advice, or crisis-plan replacement|DataForSEO panic-before-period support intent checked; NIMH panic disorder symptoms; ACOG PMS; OWH PMDD; 988 Lifeline; no diagnosis, breathing or grounding protocol, treatment plan, or instruction to wait|/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
Cycle mood and anxiety support tools|Depressed Before Period Note Sheet|depressed-before-period-note-sheet|lead-magnets|tofu|premenstrual-symptoms;mood-tracker;doctor-prep|depressed before period|note sheet|Plain note sheet for feeling depressed before a period with timing, daily impact, sleep, pain, stress, safety notes, and clinician questions without depression diagnosis, PMDD diagnosis, treatment advice, therapy plan, medication advice, pregnancy interpretation, or crisis-plan replacement|DataForSEO depressed before period 1600 US monthly searches LOW competition KD 53; period depression 1900 LOW KD 32; sad before period 210 LOW KD 14; ACOG PMS; OWH PMS; Mayo Clinic PMS; NIMH depression; 988 Lifeline; no diagnosis or treatment advice|/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/resources/symptom-guides/luteal-phase-symptoms;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
Cycle mood and anxiety support tools|Crying Before Period Tracker|crying-before-period-tracker|lead-magnets|tofu|premenstrual-symptoms;mood-tracker;doctor-prep|crying before period|tracker|Simple tracker for crying before a period with timing, sleep, stress, pain, cravings, daily impact, safety notes, and care questions without diagnosis, treatment advice, pregnancy interpretation, or crisis-plan replacement|DataForSEO crying before period 260 US monthly searches LOW competition KD 26; crying before period or pregnant 110 LOW KD 23 handled without pregnancy interpretation; ACOG PMS; OWH PMS; Mayo Clinic PMS; 988 Lifeline; no diagnosis or pregnancy interpretation|/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/resources/symptom-guides/luteal-phase-symptoms|consolidated-2026-07-06
Cycle mood and anxiety support tools|Mood Swings Before Period Log|mood-swings-before-period-log|lead-magnets|tofu|premenstrual-symptoms;mood-tracker;doctor-prep|mood swings before period|log|Plain log for mood swings before a period with timing, sleep, pain, stress, food, safety notes, daily impact, and care questions without PMS diagnosis, PMDD diagnosis, depression or anxiety diagnosis, treatment advice, or crisis-plan replacement|DataForSEO mood swings before period 590 US monthly searches LOW competition KD 55; mood before period 590 LOW KD 58; emotional before period 320 LOW KD 25; ACOG PMS; OWH PMS; Mayo Clinic PMS; 988 Lifeline; no diagnosis or treatment advice|/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/resources/symptom-guides/luteal-phase-symptoms;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
Cycle mood privacy and communication tools|Period Anxiety Data Privacy Checklist|period-anxiety-data-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;premenstrual-symptoms;mood-tracker;doctor-prep|period anxiety privacy|privacy checklist|Privacy checklist for period anxiety and mood notes, including app notes, paper notes, portal messages, screenshots, exports, backups, shared devices, and low-detail summaries without legal advice, medical advice, privacy guarantees, or crisis-plan replacement|DataForSEO period anxiety privacy and anxiety tracker privacy support intent checked; FTC mobile health apps tool; HHS health apps/HIPAA and HIPAA privacy rule; ACOG PMS; OWH PMS; 988 Lifeline; no legal advice or privacy guarantee|/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-31
Cycle mood privacy and communication tools|Before Period Mood Doctor Message Script|before-period-mood-doctor-message-script|lead-magnets|mofu|premenstrual-symptoms;mood-tracker;doctor-prep;privacy-conscious-user|mood before period doctor message|doctor message script|Low-detail doctor message script for mood before period questions with timing, impact, safety note wording, what to leave out, and clinician questions without diagnosis, treatment advice, medication advice, therapy plan, legal advice, or crisis-plan replacement|DataForSEO mood before period doctor message and PMS mood questions support intent checked; ACOG PMS; OWH PMS; 988 Lifeline; no diagnosis, treatment advice, or privacy guarantee|/free/premenstrual-symptom-tracker;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
Cycle mood privacy and communication tools|Cycle Mood Support Person Note|cycle-mood-support-person-note|lead-magnets|mofu|premenstrual-symptoms;mood-tracker;privacy-conscious-user;support-person|period mood support|support note|Short support-person note for cycle-linked mood days with timing, support asks, privacy limits, safety words, and boundaries without therapy advice, medical advice, legal advice, privacy guarantees, or crisis-plan replacement|DataForSEO period mood support and PMS support person support intent checked; ACOG PMS; OWH PMS; 988 Lifeline; no therapy plan, medical advice, legal advice, or privacy guarantee|/free/premenstrual-symptom-tracker;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/resources/privacy-in-practice/protect-your-symptom-and-condition-data;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
Thyroid period and lab support tools|Thyroid Period Change Notes|thyroid-period-change-notes|lead-magnets|tofu|cycle-change-tracker;doctor-prep;privacy-conscious-user|thyroid period changes|worksheet|Plain worksheet for period changes that may need a thyroid question, with dates, flow notes, body symptoms, lab-name prompts, and a visit script without diagnosis or lab interpretation|DataForSEO thyroid and periods KD 17; thyroid menstrual cycle KD 14; thyroid period changes 10 US searches LOW; OWH thyroid disease; NIDDK hypothyroidism; MedlinePlus thyroid tests; no diagnosis, lab interpretation, medication advice, fertility promise, or privacy guarantee|/free/thyroid-hormone-lab-organizer;/free/heavy-period-clot-tracker;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/condition-guides/thyroid-period-connection;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Thyroid period and lab support tools|Thyroid Irregular Period Question List|thyroid-irregular-period-question-list|lead-magnets|tofu|irregular-period-tracker;doctor-prep;privacy-conscious-user|can thyroid cause irregular periods|question list|Question list for irregular periods and thyroid concerns with timing notes, lab-name prompts, visit scripts, and privacy checks without naming the cause|DataForSEO can thyroid cause irregular periods KD 11; missed period thyroid KD 12; OWH thyroid disease; MedlinePlus TSH and T4 tests; no diagnosis, test interpretation, fertility prediction, or privacy guarantee|/free/thyroid-hormone-lab-organizer;/free/heavy-period-clot-tracker;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/condition-guides/thyroid-period-connection;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Thyroid period and lab support tools|Thyroid Heavy Period Visit Summary|thyroid-heavy-period-visit-summary|lead-magnets|tofu|heavy-period-tracker;doctor-prep;privacy-conscious-user|thyroid and heavy periods|visit summary|One-page visit summary for heavy periods when thyroid questions may fit, with flow notes, symptom prompts, test-name questions, and a visit script without diagnosis or lab interpretation|DataForSEO thyroid and heavy periods KD 9; heavy periods thyroid support intent; OWH thyroid disease; NIDDK hypothyroidism; ACOG heavy menstrual bleeding; MedlinePlus thyroid tests; no diagnosis, treatment advice, lab interpretation, or privacy guarantee|/free/thyroid-hormone-lab-organizer;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/condition-guides/thyroid-period-connection;/free/heavy-period-clot-tracker;/free/reproductive-visit-prep-kit;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Iron and CBC heavy-period lab support tools|Heavy Period Iron Test Question List|heavy-period-iron-test-question-list|lead-magnets|mofu|heavy-bleeding-tracker;doctor-prep;privacy-conscious-user|iron deficiency heavy periods|question list|Question list for heavy periods, low energy, CBC, hemoglobin, blood iron, ferritin, and what to ask before a lab visit without reading results or giving supplement advice|DataForSEO anemia from heavy periods KD 11; ferritin levels women 2400 US searches LOW KD 20; NHLBI iron-deficiency anemia; CDC heavy menstrual bleeding; MedlinePlus doctor prep; no diagnosis, lab interpretation, iron dose, diet advice, or treatment advice|/free/thyroid-hormone-lab-organizer;/free/heavy-period-clot-tracker;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/condition-guides/anemia-heavy-periods;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Iron and CBC heavy-period lab support tools|Ferritin Result Question Card|ferritin-result-question-card|lead-magnets|mofu|lab-results-tracker;doctor-prep;privacy-conscious-user|ferritin test results|question card|Small card for ferritin result questions, period context, portal notes, and what to ask before sharing lab details without interpreting the number or range|DataForSEO ferritin test results 140 US searches LOW KD 14; ferritin levels women 2400 LOW KD 20; NHLBI iron-deficiency anemia; MedlinePlus doctor prep; no lab interpretation, supplement advice, diet advice, or privacy guarantee|/free/heavy-period-clot-tracker;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/condition-guides/anemia-heavy-periods;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Iron and CBC heavy-period lab support tools|CBC Heavy Period Question List|cbc-heavy-period-question-list|lead-magnets|mofu|heavy-bleeding-tracker;lab-results-tracker;doctor-prep|cbc blood test results|question list|CBC question list for heavy periods, hemoglobin, period notes, result follow-up, and what to ask a clinician without reading lab values|DataForSEO CBC blood test results 1300 US searches LOW KD 24; hemoglobin test results KD 21; NHLBI iron-deficiency anemia; CDC heavy menstrual bleeding; MedlinePlus doctor prep; no diagnosis, lab interpretation, supplement advice, or treatment advice|/free/heavy-period-clot-tracker;/free/thyroid-hormone-lab-organizer;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/condition-guides/anemia-heavy-periods;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Thyroid and iron lab organization tools|Thyroid Lab Result Organizer|thyroid-lab-result-organizer|lead-magnets|tofu|doctor-prep;cycle-change-tracker;privacy-conscious-user|tsh test results|organizer|Thyroid lab result organizer for TSH, T4, dates, portal notes, cycle timing, fatigue notes, and visit questions without explaining lab values|DataForSEO TSH test results 480 US searches LOW KD 36; thyroid blood test results KD 66; MedlinePlus thyroid tests, TSH, and T4; no diagnosis, lab interpretation, medication advice, or privacy guarantee|/free/thyroid-hormone-lab-organizer;/free/heavy-period-clot-tracker;/free/premenstrual-symptom-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/condition-guides/thyroid-period-connection;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Thyroid and iron lab organization tools|Period Fatigue Bloodwork Visit Summary|period-fatigue-bloodwork-visit-summary|lead-magnets|mofu|doctor-prep;heavy-bleeding-tracker;privacy-conscious-user|period fatigue bloodwork|visit summary|Visit summary for period fatigue, heavy-flow notes, thyroid labs, iron questions, cycle timing, and bloodwork follow-up without deciding cause or tests|DataForSEO period fatigue and bloodwork support intent; anemia from heavy periods KD 11; hormone blood test results 40 US searches LOW KD 4; NHLBI iron-deficiency anemia; MedlinePlus thyroid tests; no diagnosis, test-order advice, lab interpretation, treatment advice, or privacy guarantee|/free/thyroid-hormone-lab-organizer;/free/heavy-period-clot-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/condition-guides/anemia-heavy-periods;/resources/condition-guides/thyroid-period-connection;/free/premenstrual-symptom-tracker;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-06
Thyroid and iron lab privacy tools|Thyroid and Iron Lab Privacy Checklist|thyroid-iron-lab-privacy-checklist|privacy-in-practice|mofu|privacy-conscious-user;doctor-prep;portal-user|thyroid lab privacy|privacy checklist|Privacy checklist for thyroid and iron lab results, portal messages, file names, cycle notes, fatigue summaries, insurance records, and app exports without legal, medical, or privacy promises|DataForSEO lab privacy and thyroid/iron support intent; HHS HIPAA access rights; HHS HIPAA consumer rights; HHS privacy rule summary; FTC mobile health app best practices; no legal advice, medical advice, HIPAA overclaim, or privacy guarantee|/free/thyroid-hormone-lab-organizer;/free/premenstrual-symptom-tracker;/free/heavy-period-clot-tracker;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/condition-guides/thyroid-period-connection;/resources/condition-guides/anemia-heavy-periods;/app-guides/floriva-for-gynecologist-prep|consolidated-2026-07-31
